EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG,A,B,C,
 16957943,ISC      ,1907-01-04,05:19:11.80,  1.8725,  94.2091, 15.0,TRUE  ,ISC      ,MS    , 7.8,
   913990,ISC      ,1914-06-25,19:07:25.91, -3.9242, 101.8203, 35.0,TRUE  ,ISC      ,MS    , 7.6,
   913286,ISC      ,1918-09-22,09:55:00.13, -1.4570, 100.0902, 35.0,TRUE  ,ISC      ,MS    , 6.5,
   912712,ISC      ,1919-01-18,05:52:24.87, -4.5766, 101.4670, 35.0,TRUE  ,ISC      ,MS    , 6.3,
   912756,ISC      ,1919-04-02,00:34:59.58, -5.4963, 104.4870, 20.0,TRUE  ,ISC      ,MS    , 6.5,
   912979,ISC      ,1919-10-12,21:48:31.74, -4.1786, 101.7521, 25.0,TRUE  ,ISC      ,MS    , 6.5,
   912458,ISC      ,1920-03-17,18:37:04.97,  1.5749,  95.5552, 15.0,TRUE  ,ISC      ,MS    , 6.3,
   912177,ISC      ,1921-03-05,06:24:18.74,  7.4007,  93.6380, 20.0,TRUE  ,ISC      ,MS    , 6.4,
   912197,ISC      ,1921-04-01,04:06:45.04,  1.7701,  98.1481, 35.0,TRUE  ,ISC      ,MS    , 6.8,
   911366,ISC      ,1923-05-12,01:20:08.80, -6.9660, 105.1715, 25.0,TRUE  ,ISC      ,MS    , 6.3,
   910720,ISC      ,1925-10-22,17:01:44.49, -5.5141, 102.8120, 35.0,TRUE  ,ISC      ,MS    , 6.7,
   909897,ISC      ,1926-06-28,03:23:28.54,  0.1020, 101.4677, 15.0,TRUE  ,ISC      ,MS    , 6.7,
   909898,ISC      ,1926-06-28,06:15:48.40, -0.6295, 100.1554, 35.0,TRUE  ,ISC      ,MS    , 6.4,
   909912,ISC      ,1926-07-01,14:09:01.64, -2.9935, 101.1462, 25.0,TRUE  ,ISC      ,MS    , 6.8,
   908473,ISC      ,1928-01-26,21:51:33.92, -4.9642,  95.9933, 15.0,TRUE  ,ISC      ,MS    , 6.3,
   908409,ISC      ,1929-12-09,06:49:59.94,  4.2027,  94.5283, 25.0,TRUE  ,ISC      ,MS    , 6.8,
   907457,ISC      ,1930-06-19,13:07:28.37, -5.6291, 105.3224, 35.0,TRUE  ,ISC      ,MS    , 6.2,
   906621,ISC      ,1931-02-10,06:34:34.34, -5.4122, 102.5572, 35.0,TRUE  ,ISC      ,MS    , 7.1,
